Reference, Quantity, Value, Footprint, Datasheet, Distributor, Distributor PN, Distributor link, Manufacturer, Manufacturer PN
BZ1 ,1,"/re","BEElib:Buzzer","https://www.mouser.es/datasheet/2/400/iezoelectronic_buzzer_ps_en-1131915.pdf","Mouser","810-PS1720P02","https://www.mouser.es/ProductDetail/TDK/PS1720P02?qs=%2Fha2pyFaduij9gzHzuar2QPUvZxCzhClreZpH3Stz3Y%3D","TDK","PS1720P02"
C1 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","Mouser"," 80-C0805C105K4R","https://www.mouser.es/ProductDetail/KEMET/C0805C105K4RACTU?qs=sGAEpiMZZMs0AnBnWHyRQOf5HOpVaXbhbAPfOfwRmL8%3D","KEMET","C0805C105K4RACTU"
C2 ,1,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","Mouser","80-C0805C104K3R","https://www.mouser.es/ProductDetail/KEMET/C0805C104K3RACTU?qs=sGAEpiMZZMs0AnBnWHyRQFCCI5cSbRT%2FqS%252BgegeU2mQ%3D","KEMET","C0805C104K3RACTU"
C3 ,1,"10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/40/TAJ_LOW_PROFILE-932651.pdf","Mouser"," 581-TAJP106K006RNJ ","https://www.mouser.es/ProductDetail/AVX/TAJP106K006RNJ?qs=q%252BHV0zBR8MhWDNAZ3JBdYA%3D%3D","AVX","TAJP106K006RNJ "
D1 D2 D3 ,3,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/445/150080RS75000-368622.pdf","Mouser"," 710-150080RS75000 ","https://www.mouser.es/ProductDetail/Wurth-Elektronik/150080RS75000?qs=sGAEpiMZZMseGfSY3csMkQ6oANueNQcIWZauLnp6GcWRTQJwjw7fdA%3D%3D","Wurth Elektronik","150080RS75000"
FID1 FID2 FID3 ,3,"Fiducial","Fiducial:Fiducial_0.5mm_Dia_1mm_Outer",""
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~"
J1 ,1,"RPI1_header","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.mouser.es/datasheet/2/418/NG_CD_146254_J2-1238606.pdf","Mouser","571-7-146254-0","https://www.mouser.es/ProductDetail/TE-Connectivity-AMP/7-146254-0?qs=sGAEpiMZZMs%252BGHln7q6pm44kDepmYTI8jAW7hTb6F%2FE=","TE Connectivity / AMP","7-146254-0"
J16 ,1,"Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","https://www.mouser.es/datasheet/2/18/68000-1266375.pdf","Mouser","649-68000-408HLF","https://www.mouser.es/ProductDetail/Amphenol-FCI/68000-408HLF?qs=sGAEpiMZZMs%252BGHln7q6pm2nKUjHUi6l6ApDmVWDJh%2FE%3D","Amphenol FCI ","68000-408HLF"
J14 J17 J18 ,3,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.mouser.es/datasheet/2/18/68000-1266375.pdf","Mouser","649-68001-403HLF","https://www.mouser.es/ProductDetail/Amphenol-FCI/68001-403HLF?qs=sGAEpiMZZMs%252BGHln7q6pm%2FK1Y9dcUIE1Zb6%2FMRCtGFY%3D","Amphenol FCI","68001-403HLF"
J2 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","https://www.mouser.es/datasheet/2/18/67996-1142923.pdf","Mouser","649-67997-210HLF ","https://www.mouser.es/ProductDetail/Amphenol-FCI/67997-210HLF?qs=sGAEpiMZZMs%252BGHln7q6pm2nKUjHUi6l6aE2JnujhSfI%3D","Amphenol FCI","67997-210HLF "
